MovieID,Title,Genre,ReleaseYear,ReleaseDate,Country, BudgetUSD , US_BoxOfficeUSD , Global_BoxOfficeUSD , Opening_Day_SalesUSD , One_Week_SalesUSD ,IMDbRating,RottenTomatoesScore,NumVotesIMDb,NumVotesRT,Director,LeadActor, Profit ,Profit%,Hit_Flop,Rating_Category
48,Head team onto model,Drama,2011,24-05-2011,Australia," $1,43,45,515.59 "," $2,23,40,579.44 "," $3,62,57,512.61 "," $53,50,194.61 "," $91,51,233.82 ",9.6,87,280,986,Robert Hendricks,Melissa Morales," $2,19,11,997.02 ",152.74%,Hit,Excellent Performance
49,Finish,Thriller,2012,14-11-2012,India," $16,79,677.57 "," $46,53,196.68 "," $71,70,484.62 "," $6,98,285.69 "," $20,24,793.94 ",8.8,92,4950,149,Seth Whitehead,Kathy Marshall," $54,90,807.05 ",326.90%,Hit,Excellent Performance
50,Right,Comedy,1993,25-04-1993,USA," $29,29,612.32 "," $36,30,673.53 "," $54,24,425.42 "," $3,79,549.57 "," $15,63,726.25 ",6.6,61,4726,1206,Faith Franklin,Mckenzie Perez," $24,94,813.10 ",85.16%,flop,Good Performance
51,Dog improve perhaps,Comedy,1994,20-12-1994,India," $1,65,38,725.61 "," $1,98,70,382.45 "," $3,67,52,241.31 "," $57,84,169.09 "," $1,17,76,984.60 ",4.8,30,4177,302,Jennifer Willis,Daniel Hughes," $2,02,13,515.70 ",122.22%,Hit,Average
52,Strong son travel,Drama,1974,07-01-1974,India," $38,66,117.13 "," $94,93,477.11 "," $1,57,38,161.74 "," $23,85,246.49 "," $48,62,447.47 ",3.7,33,1159,759,Mary Mitchell,Jason Chavez," $1,18,72,044.61 ",307.08%,Hit,Average
53,Those arm action,Comedy,2018,09-04-2018,USA," $12,77,927.48 "," $13,42,671.70 "," $22,64,163.18 "," $3,31,796.25 "," $7,78,078.36 ",5.7,54,579,853,Andrew Chambers,Brandon Mcguire," $9,86,235.70 ",77.17%,flop,Average
54,Perhaps much enjoy,Comedy,1998,22-11-1998,India," $2,44,36,354.19 "," $1,52,68,989.18 "," $2,95,51,770.50 "," $25,99,307.41 "," $81,53,438.42 ",7.9,80,89519,15686,Michael Richards,Tricia Thomas," $51,15,416.31 ",20.93%,flop,Good Performance
55,Difficult success organization,Action,2000,11-12-2000,USA," $6,91,258.28 "," $17,87,495.32 "," $33,32,775.16 "," $3,33,772.73 "," $7,85,631.86 ",7.2,74,125,6518,Daniel Brown,Patricia Ramirez," $26,41,516.88 ",382.13%,Hit,Good Performance
56,Usually push,Comedy,1990,03-06-1990,USA," $5,20,354.31 "," $3,00,667.11 "," $5,20,354.31 "," $51,494.64 "," $1,61,530.27 ",7.4,77,2281,222,Heidi Cisneros,Robert Walker, $-   ,0.00%,Break_even,Good Performance
57,Bring tonight early,Thriller,2024,25-05-2024,USA," $12,34,865.97 "," $15,08,722.69 "," $29,34,398.05 "," $2,65,677.35 "," $7,22,062.50 ",5.9,55,53650,2321,Michael Chung,Casey Collins," $16,99,532.08 ",137.63%,Hit,Average
58,Run statement population,Comedy,1950,08-12-1950,USA," $14,97,530.58 "," $30,82,387.00 "," $54,74,112.54 "," $3,28,046.51 "," $16,17,742.50 ",4.5,50,10178,1341,Abigail Robles,Michelle Thomas," $39,76,581.96 ",265.54%,Hit,Average
59,Issue put yes,Comedy,2000,19-04-2000,USA," $29,27,562.18 "," $74,61,160.88 "," $1,11,52,470.79 "," $7,64,578.61 "," $40,17,239.65 ",6.7,88,8358,448,Paul Rogers,Dominique Aguirre," $82,24,908.61 ",280.95%,Hit,Good Performance
60,Carry section,Action,1991,26-03-1991,USA," $95,69,133.87 "," $1,01,37,677.50 "," $1,79,97,208.37 "," $12,05,138.52 "," $54,89,799.11 ",4.6,44,186,1506,Carolyn Schwartz,Mark Morris," $84,28,074.50 ",88.08%,flop,Average
61,Either this now,Drama,2009,17-12-2009,USA," $4,63,291.42 "," $7,20,699.04 "," $16,93,997.50 "," $1,75,751.35 "," $3,92,873.01 ",5.2,37,234,2301,Jason Jones,Eric Cooper," $12,30,706.08 ",265.64%,Hit,Average
62,Return speech,Documentary,2010,08-12-2010,UK," $38,46,865.14 "," $24,26,864.14 "," $56,61,038.09 "," $6,05,464.33 "," $11,27,868.54 ",6.4,55,1415,465,Jennifer Henry,Catherine Willis," $18,14,172.95 ",47.16%,flop,Good Performance
63,Subject next per,Comedy,2003,26-04-2003,USA," $53,31,369.42 "," $1,13,24,332.14 "," $1,64,62,359.05 "," $20,60,189.92 "," $52,08,204.97 ",7.5,82,10760,50,Donna Hall,Christopher Hurst," $1,11,30,989.63 ",208.78%,Hit,Good Performance
64,Education professor four,Thriller,2012,19-03-2012,USA," $74,71,929.79 "," $1,43,88,823.55 "," $2,39,01,529.00 "," $36,60,547.81 "," $58,23,415.21 ",6.8,72,116,854,Anthony Rowland,Cassandra Dennis," $1,64,29,599.21 ",219.88%,Hit,Good Performance
65,Program ago,Romance,2019,25-08-2019,USA," $8,21,495.73 "," $3,77,276.53 "," $8,21,495.73 "," $93,369.14 "," $1,55,469.37 ",6.2,58,106,4205,Adam Brown,George Green, $-   ,0.00%,Break_even,Good Performance
66,Owner four four,Drama,1967,04-05-1967,USA," $4,38,79,798.56 "," $5,95,20,827.82 "," $13,02,45,281.20 "," $65,03,349.25 "," $2,84,04,732.85 ",4.2,29,1362,381,Philip Simmons,Joseph Leon," $8,63,65,482.64 ",196.82%,Hit,Average
67,Until government,Drama,2011,28-11-2011,India," $51,94,204.39 "," $60,95,107.98 "," $94,82,283.29 "," $6,33,029.43 "," $28,56,974.63 ",8,87,3197,885,Ryan Tate,Darren Jones," $42,88,078.90 ",82.56%,flop,Excellent Performance
68,Four forget today,Horror,1965,07-11-1965,USA," $60,20,014.98 "," $36,59,600.97 "," $60,20,014.98 "," $4,65,908.55 "," $21,84,451.52 ",4.3,47,2379,6081,Andrew Chambers,Christopher Hurst, $-   ,0.00%,Break_even,Average
69,Change think create,Drama,2003,28-09-2003,Australia," $30,23,413.08 "," $50,08,384.37 "," $82,19,234.20 "," $12,70,729.59 "," $21,28,887.23 ",5.1,54,1796,3796,Melanie Olson,Douglas Davis," $51,95,821.12 ",171.85%,Hit,Average
70,However whom,Action,1978,25-08-1978,USA," $3,15,105.70 "," $7,33,247.18 "," $13,35,477.81 "," $1,90,391.12 "," $3,34,296.66 ",8.2,97,408,303,Jennifer Miller,Alexander Haley," $10,20,372.11 ",323.82%,Hit,Excellent Performance
71,Form floor thank,Comedy,2006,27-05-2006,USA," $1,04,96,349.14 "," $1,34,98,710.88 "," $1,94,54,860.94 "," $29,34,797.68 "," $76,56,806.77 ",8.3,78,4494,2286,Darlene Murphy,Sharon Brady," $89,58,511.80 ",85.35%,flop,Excellent Performance
72,Response main,Sci-Fi,1990,19-04-1990,China," $4,25,39,968.69 "," $2,65,39,546.08 "," $6,54,86,453.26 "," $74,45,218.32 "," $1,44,95,215.29 ",4.6,38,59537,332,Kevin Green,Sandra Farmer," $2,29,46,484.57 ",53.94%,flop,Average
73,Believe TV past,Drama,1989,18-08-1989,USA," $92,00,720.94 "," $84,70,309.35 "," $1,92,71,761.69 "," $14,01,469.41 "," $47,24,781.37 ",6.3,55,8238,747,David Hall,Sierra Brooks," $1,00,71,040.75 ",109.46%,Hit,Good Performance
74,Vote,Drama,2025,03-09-2025,UK," $21,92,960.86 "," $12,67,124.29 "," $26,72,853.42 "," $2,82,633.44 "," $6,46,175.21 ",6.8,69,30377,191,Sophia Gomez,Valerie Dennis," $4,79,892.56 ",21.88%,flop,Good Performance
75,Think exactly,Action,1978,20-11-1978,USA," $32,53,702.72 "," $18,88,422.64 "," $32,53,702.72 "," $4,32,116.90 "," $8,71,417.04 ",4.1,28,4483,3266,Dr. Jonathan Long,Sarah Nelson, $-   ,0.00%,Break_even,Average
76,Power find,Action,1992,26-10-1992,USA," $6,18,082.19 "," $17,73,511.07 "," $26,11,459.70 "," $4,22,379.21 "," $10,04,455.38 ",8.2,84,1363,156,James Cross,Mrs. Margaret Smith," $19,93,377.51 ",322.51%,Hit,Excellent Performance
77,Market one,Action,2007,19-09-2007,France," $44,99,420.46 "," $84,56,277.82 "," $1,94,20,441.04 "," $17,57,299.42 "," $44,29,149.52 ",7.5,83,9695,854,David Rosales,Timothy George," $1,49,21,020.58 ",331.62%,Hit,Good Performance
78,All hot,Comedy,2019,17-01-2019,USA," $11,79,407.39 "," $21,32,090.19 "," $40,19,719.21 "," $3,32,575.46 "," $12,55,597.42 ",6.1,80,337,8294,Jeffrey Neal,Ashley Pena," $28,40,311.82 ",240.83%,Hit,Good Performance
79,Wide clearly provide,Romance,1983,16-08-1983,USA," $9,43,131.66 "," $18,51,421.69 "," $27,14,023.77 "," $2,96,828.88 "," $7,61,104.32 ",6.2,73,21230,66,Karen Smith,Melissa Cain," $17,70,892.11 ",187.77%,Hit,Good Performance
80,Sense relationship leader,Horror,2018,08-01-2018,India," $12,81,929.03 "," $23,76,100.25 "," $41,84,566.19 "," $5,95,849.23 "," $11,53,509.25 ",8.1,77,172,406,Francisco Ford,Mark Jones," $29,02,637.16 ",226.43%,Hit,Excellent Performance
81,Discuss result,Romance,2005,06-07-2005,USA," $32,23,020.68 "," $64,42,093.12 "," $1,27,84,602.43 "," $6,84,472.83 "," $31,00,800.15 ",5.7,39,2893,87,Jennifer Willis,Amber Willis," $95,61,581.75 ",296.67%,Hit,Average
82,Away bring,Horror,1968,23-03-1968,USA," $61,57,229.71 "," $1,30,95,823.13 "," $2,58,39,279.39 "," $39,00,253.43 "," $74,04,765.30 ",6.8,58,224,281,Matthew Beck,Kimberly Ramirez," $1,96,82,049.68 ",319.66%,Hit,Good Performance
83,Fall structure,Drama,1980,13-06-1980,Canada," $2,39,74,912.09 "," $2,15,52,744.82 "," $4,36,49,740.73 "," $57,98,470.48 "," $95,99,861.55 ",6.7,77,2369,3907,Matthew Beck,Seth Smith," $1,96,74,828.64 ",82.06%,flop,Good Performance
84,Physical say face within,Romance,1963,15-06-1963,USA," $31,85,589.08 "," $43,72,118.47 "," $91,46,916.26 "," $11,54,576.97 "," $23,65,881.83 ",8.2,84,842,9880,Karen Barrett,Samantha Vargas," $59,61,327.18 ",187.13%,Hit,Excellent Performance
85,Under push evening,Documentary,2025,09-10-2025,USA," $26,58,315.95 "," $41,21,643.99 "," $97,83,938.41 "," $10,68,694.28 "," $24,42,892.72 ",6,72,1736,854,Mr. Jorge Anderson,Lorraine White DDS," $71,25,622.46 ",268.05%,Hit,Good Performance
86,Around night,Comedy,2001,31-10-2001,USA," $2,47,38,532.55 "," $4,19,41,419.88 "," $6,27,66,329.38 "," $67,75,529.27 "," $1,90,25,798.83 ",7.3,82,6899,1326,David Rosales,Dawn Blake," $3,80,27,796.83 ",153.72%,Hit,Good Performance
87,Focus investment her,Horror,2001,21-01-2001,USA," $60,14,508.38 "," $29,08,491.36 "," $60,14,508.38 "," $7,92,860.49 "," $15,35,755.96 ",5.2,48,10533,721,Ryan Tate,David Hart, $-   ,0.00%,Break_even,Average
88,Fly baby,Drama,2010,01-12-2010,USA," $17,47,318.90 "," $20,28,286.72 "," $29,79,757.68 "," $5,67,546.78 "," $8,30,857.94 ",6.8,58,3871,50,William Walker,Becky Dean," $12,32,438.78 ",70.53%,flop,Good Performance
89,Ask clearly if,Romance,2018,03-06-2018,USA," $1,99,86,352.03 "," $5,89,23,649.40 "," $9,00,20,273.71 "," $1,59,41,406.76 "," $3,39,20,310.35 ",4.9,71,36798,50,Michael Richards,Jorge Kennedy," $7,00,33,921.68 ",350.41%,Hit,Average
90,Speech about someone,Comedy,2017,09-03-2017,USA," $26,35,531.28 "," $77,71,896.85 "," $1,27,86,755.18 "," $18,53,562.36 "," $33,50,240.59 ",8.9,80,4238,6086,Brian Robinson,Christopher Rodgers," $1,01,51,223.90 ",385.17%,Hit,Excellent Performance
91,Report physical candidate,Comedy,2016,27-02-2016,Germany," $1,41,51,376.20 "," $3,49,25,559.09 "," $5,76,82,132.27 "," $96,17,386.57 "," $2,03,29,672.97 ",4.9,39,27289,79,William Carpenter,Christopher Benson," $4,35,30,756.07 ",307.61%,Hit,Average
92,You discover,Romance,1991,20-01-1991,USA," $17,02,153.01 "," $31,95,665.91 "," $49,66,959.55 "," $4,60,840.71 "," $16,08,400.86 ",8.5,83,8090,18542,Mark Moody,Alison Clark," $32,64,806.54 ",191.80%,Hit,Excellent Performance
93,Alone day official,Romance,1988,18-09-1988,France," $6,81,709.43 "," $19,42,184.28 "," $31,90,720.65 "," $1,97,447.69 "," $8,49,457.52 ",8.6,82,12762,5849,Michael Chung,Sharon Brady," $25,09,011.22 ",368.05%,Hit,Excellent Performance
94,Choose common,Horror,1998,12-07-1998,USA," $21,52,750.98 "," $14,89,852.28 "," $28,34,348.76 "," $1,56,555.86 "," $8,19,332.50 ",7.1,67,78355,657,Patricia Munoz,Stephen Cooper," $6,81,597.78 ",31.66%,flop,Good Performance
95,Wonder young must,Action,2008,26-05-2008,USA," $90,56,097.68 "," $48,12,542.41 "," $1,00,90,058.54 "," $13,11,157.44 "," $23,79,285.37 ",4.5,44,64113,77,Caitlin Brewer,Ashley Gilmore," $10,33,960.86 ",11.42%,flop,Average
96,All lot,Drama,2022,24-11-2022,USA," $19,87,747.41 "," $17,74,715.27 "," $42,55,442.83 "," $2,92,971.59 "," $8,75,577.86 ",7.6,88,2444,2487,Emily Miller,Jorge Kennedy," $22,67,695.42 ",114.08%,Hit,Good Performance
97,Lay fill mind,Horror,1957,24-02-1957,USA," $30,90,793.31 "," $97,92,788.27 "," $1,40,58,850.84 "," $16,66,379.61 "," $51,15,475.10 ",5.2,36,368,4183,Bryan Murray,Joseph Gonzalez," $1,09,68,057.53 ",354.86%,Hit,Average
98,Hold,Thriller,1994,09-05-1994,USA," $61,84,974.86 "," $1,60,02,352.36 "," $2,62,07,047.79 "," $27,33,156.99 "," $93,81,550.94 ",3,32,221,243,Ryan Tate,Mark Jones," $2,00,22,072.93 ",323.72%,Hit,Average
99,However listen each,Thriller,2022,01-04-2022,USA," $1,26,13,859.33 "," $1,85,57,187.28 "," $3,83,86,331.63 "," $29,47,095.86 "," $97,16,160.88 ",8.4,100,5052,33850,Jacqueline Briggs,Brittany Kelly," $2,57,72,472.30 ",204.32%,Hit,Excellent Performance
100,Best something last,Comedy,2001,20-09-2001,USA," $1,60,79,957.21 "," $75,87,586.53 "," $1,60,79,957.21 "," $19,83,293.64 "," $31,23,046.37 ",6.9,63,128347,121,Melissa Hernandez,Pamela Frey, $-   ,0.00%,Break_even,Good Performance
101,Hair significant fear,Drama,2004,11-10-2004,UK," $78,62,147.77 "," $48,74,513.15 "," $98,02,761.93 "," $10,54,550.57 "," $20,19,570.09 ",7.7,58,1748,1944,Jeffrey Neal,Noah Harrison," $19,40,614.16 ",24.68%,flop,Good Performance
102,Per,Drama,1996,27-04-1996,USA," $33,71,043.88 "," $33,39,465.73 "," $67,30,363.36 "," $6,72,049.71 "," $16,72,742.51 ",5.2,62,2688,2768,Adriana Campbell,Amy Gomez," $33,59,319.48 ",99.65%,flop,Average
